ARSENAL,5,NEWCASTLE (A),BURNLEY (H),LIVERPOOL (A),TOTTENHAM (H),WATFORD (A),ASTON VILLA (H),MAN UTD (A),BOURNEMOUTH (H)
ASTON VILLA,19,TOTTENHAM (A),BOURNEMOUTH (H),EVERTON (H),C PALACE (A),WEST HAM (H),ARSENAL (A),BURNLEY (H),NORWICH (A)
BOURNEMOUTH,14,SHEFF UTD (H),ASTON VILLA (A),MAN CITY (H),LEICESTER (A),EVERTON (H),SOUTHAMPTON (A),WEST HAM (H),ARSENAL (A)
BRIGHTON,17,WATFORD (A),WEST HAM (H),SOUTHAMPTON (H),MAN CITY (A),BURNLEY (H),NEWCASTLE (A),CHELSEA (A),TOTTENHAM (H)
BURNLEY,15,SOUTHAMPTON (H),ARSENAL (A),WOLVES (A),LIVERPOOL (H),BRIGHTON (A),NORWICH (H),ASTON VILLA (A),EVERTON (H)
CHELSEA,12,MAN UTD (A),LEICESTER (H),NORWICH (A),SHEFF UTD (H),WOLVES (A),LIVERPOOL (H),BRIGHTON (H),SOUTHAMPTON (A)
CRYSTAL PALACE,3,EVERTON (H),SHEFF UTD (A),MAN UTD (A),ASTON VILLA (H),TOTTENHAM (A),WOLVES (H),NORWICH (H),WEST HAM (A)
EVERTON,8,C PALACE (A),WATFORD (H),ASTON VILLA (A),WOLVES (H),BOURNEMOUTH (A),SHEFF UTD (H),MAN CITY (H),BURNLEY (A)
LEICESTER,9,WOLVES (H),CHELSEA (A),SHEFF UTD (A),BOURNEMOUTH (H),MAN UTD (A),TOTTENHAM (H),NEWCASTLE (H),LIVERPOOL (A)
LIVERPOOL,2,NORWICH (H),SOUTHAMPTON (A),ARSENAL (H),BURNLEY (A),NEWCASTLE (H),CHELSEA (A),SHEFF UTD (A),LEICESTER (H)
MAN CITY,1,WEST HAM (A),TOTTENHAM (H),BOURNEMOUTH (A),BRIGHTON (H),NORWICH (A),WATFORD (H),EVERTON (A),WOLVES (H)
MAN UTD,6,CHELSEA (H),WOLVES (A),C PALACE (H),SOUTHAMPTON (A),LEICESTER (H),WEST HAM (A),ARSENAL (H),NEWCASTLE (A)
NEWCASTLE,13,ARSENAL (A),NORWICH (A),TOTTENHAM (A),WATFORD (H),LIVERPOOL (A),BRIGHTON (H),LEICESTER (A),MAN UTD (H)
NORWICH,19,LIVERPOOL (A),NEWCASTLE (H),CHELSEA (H),WEST HAM (A),MAN CITY (H),BURNLEY (A),C PALACE (A),ASTON VILLA (H)
SHEFF UTD,19,BOURNEMOUTH (A),C PALACE (H),LEICESTER (H),CHELSEA (A),SOUTHAMPTON (H),EVERTON (A),LIVERPOOL (H),WATFORD (A)
SOUTHAMPTON,16,BURNLEY (A),LIVERPOOL (H),BRIGHTON (A),MAN UTD (H),SHEFF UTD (A),BOURNEMOUTH (H),TOTTENHAM (A),CHELSEA (H)
TOTTENHAM,4,ASTON VILLA (H),MAN CITY (A),NEWCASTLE (H),ARSENAL (A),C PALACE (H),LEICESTER (A),SOUTHAMPTON (H),BRIGHTON (A)
WATFORD,11,BRIGHTON (H),EVERTON (A),WEST HAM (H),NEWCASTLE (A),ARSENAL (H),MAN CITY (A),WOLVES (A),SHEFF UTD (H)
WEST HAM,10,MAN CITY (H),BRIGHTON (A),WATFORD (A),NORWICH (H),ASTON VILLA (A),MAN UTD (H),BOURNEMOUTH (A),C PALACE (H)
WOLVES,7,LEICESTER (A),MAN UTD (H),BURNLEY (H),EVERTON (A),CHELSEA (H),C PALACE (A),WATFORD (H),MAN CITY (A)
